source,stem,status,normalised_src,unique,plain,n_segments,n_words,n_lines,emotions
12AngryMenTest.mp4,12AngryMenTest,ok,,evaluationoutput/video/12AngryMenTestv19_withUniqueSubtitles.mp4,evaluationoutput/video/12AngryMenTestv19_withoutUniqueSubtitles.mp4,48,339,42,"neutral:15, frustrated:9, excited:9, angry:7, sad:5, happy:2, surprised:1"
BBC(Tense).mp4,BBC_Tense,ok,,evaluationoutput/video/BBC_Tensev19_withUniqueSubtitles.mp4,evaluationoutput/video/BBC_Tensev19_withoutUniqueSubtitles.mp4,103,497,71,"sad:44, frustrated:25, excited:15, neutral:15, happy:2, angry:2"
BreakingBad(Happy).mp4,BreakingBad_Happy,ok,outputs/normalised/BreakingBad(Happy)_norm.mp4,evaluationoutput/video/BreakingBad_Happyv19_withUniqueSubtitles.mp4,evaluationoutput/video/BreakingBad_Happyv19_withoutUniqueSubtitles.mp4,16,25,13,"neutral:8, frustrated:5, fearful:1, sad:1, angry:1"
BreakingBad2.mp4,BreakingBad2,ok,,evaluationoutput/video/BreakingBad2v19_withUniqueSubtitles.mp4,evaluationoutput/video/BreakingBad2v19_withoutUniqueSubtitles.mp4,36,166,31,"excited:11, neutral:8, frustrated:6, angry:6, sad:4, fearful:1"
GreenBook(Stressed).mp4,GreenBook_Stressed,ok,outputs/normalised/GreenBook(Stressed)_norm.mp4,evaluationoutput/video/GreenBook_Stressedv19_withUniqueSubtitles.mp4,evaluationoutput/video/GreenBook_Stressedv19_withoutUniqueSubtitles.mp4,5,88,5,"frustrated:2, neutral:2, excited:1"
Interstellar.mp4,Interstellar,ok,outputs/normalised/Interstellar_norm.mp4,evaluationoutput/video/Interstellarv19_withUniqueSubtitles.mp4,evaluationoutput/video/Interstellarv19_withoutUniqueSubtitles.mp4,20,158,23,"sad:9, neutral:5, excited:3, frustrated:2, angry:1"
NBA(interview).mp4,NBA_interview,ok,,evaluationoutput/video/NBA_interviewv19_withUniqueSubtitles.mp4,evaluationoutput/video/NBA_interviewv19_withoutUniqueSubtitles.mp4,44,369,33,"sad:12, frustrated:9, excited:8, neutral:6, angry:4, happy:2, surprised:2, fearful:1"
Obsession(fear).mp4,Obsession_fear,ok,outputs/normalised/Obsession(fear)_norm.mp4,evaluationoutput/video/Obsession_fearv19_withUniqueSubtitles.mp4,evaluationoutput/video/Obsession_fearv19_withoutUniqueSubtitles.mp4,3,10,4,"angry:1, excited:1, surprised:1"
RDR2(sad).mp4,RDR2_sad,ok,,evaluationoutput/video/RDR2_sadv19_withUniqueSubtitles.mp4,evaluationoutput/video/RDR2_sadv19_withoutUniqueSubtitles.mp4,73,332,64,"frustrated:21, sad:17, neutral:13, excited:11, angry:5, surprised:4, happy:2"
Tetris.mp4,Tetris,ok,outputs/normalised/Tetris_norm.mp4,evaluationoutput/video/Tetrisv19_withUniqueSubtitles.mp4,evaluationoutput/video/Tetrisv19_withoutUniqueSubtitles.mp4,35,223,35,"sad:11, excited:9, neutral:6, frustrated:6, angry:2, surprised:1"
TheMentalist(Threathen).mp4,TheMentalist_Threathen,ok,outputs/normalised/TheMentalist(Threathen)_norm.mp4,evaluationoutput/video/TheMentalist_Threathenv19_withUniqueSubtitles.mp4,evaluationoutput/video/TheMentalist_Threathenv19_withoutUniqueSubtitles.mp4,5,114,10,"sad:4, angry:1"
TWD(Angry).mp4,TWD_Angry,ok,outputs/normalised/TWD(Angry)_norm.mp4,evaluationoutput/video/TWD_Angryv19_withUniqueSubtitles.mp4,evaluationoutput/video/TWD_Angryv19_withoutUniqueSubtitles.mp4,5,24,5,"sad:3, excited:1, neutral:1"
