source,stem,status,plain
12AngryMenTest.mp4,12AngryMenTest,failed: ArrowInvalid,
BBC(Tense).mp4,BBC_Tense,failed: ArrowInvalid,
BreakingBad(Happy).mp4,BreakingBad_Happy,failed: ArrowInvalid,
BreakingBad2.mp4,BreakingBad2,failed: ArrowInvalid,
GreenBook(Stressed).mp4,GreenBook_Stressed,failed: ArrowInvalid,
Interstellar.mp4,Interstellar,failed: ArrowInvalid,
NBA(interview).mp4,NBA_interview,failed: ArrowInvalid,
Obsession(fear).mp4,Obsession_fear,failed: ArrowInvalid,
RDR2(sad).mp4,RDR2_sad,failed: ArrowInvalid,
Tetris.mp4,Tetris,failed: ArrowInvalid,
TheMentalist(Threathen).mp4,TheMentalist_Threathen,failed: ArrowInvalid,
TWD(Angry).mp4,TWD_Angry,failed: ArrowInvalid,
