time,f0
0.015,0.0
0.02,0.0
0.025,0.0
0.03,0.0
0.035,0.0
0.04,0.0
0.045,0.0
0.05,0.0
0.055,0.0
0.06,0.0
0.065,0.0
0.07,0.0
0.075,0.0
0.08,196.14
0.085,196.46
0.09,196.02
0.095,195.07
0.1,193.67
0.105,191.89
0.11,190.62
0.115,189.09
0.12,188.01
0.125,187.45
0.13,183.61
0.135,178.63
0.14,176.52
0.145,176.05
0.15,176.23
0.155,175.67
0.16,175.27
0.165,174.48
0.17,174.07
0.175,174.16
0.18,174.22
0.185,174.44
0.19,174.77
0.195,174.34
0.2,173.34
0.205,173.67
0.21,174.07
0.215,172.79
0.22,171.84
0.225,171.09
0.23,169.63
0.235,167.79
0.24,200.79
0.245,200.47
0.25,202.29
0.255,0.0
0.26,0.0
0.265,0.0
0.27,0.0
0.275,0.0
0.28,0.0
0.285,0.0
0.29,0.0
0.295,0.0
0.3,0.0
0.305,0.0
0.31,0.0
0.315,0.0
0.32,0.0
0.325,0.0
0.33,0.0
0.335,0.0
0.34,0.0
0.345,0.0
0.35,0.0
0.355,0.0
0.36,0.0
0.365,0.0
0.37,0.0
0.375,0.0
0.38,0.0
0.385,0.0
0.39,0.0
0.395,256.59
0.4,260.32
0.405,265.12
0.41,269.58
0.415,265.43
0.42,259.48
0.425,258.58
0.43,258.16
0.435,257.35
0.44,256.24
0.445,254.83
0.45,253.96
0.455,254.58
0.46,255.38
0.465,255.49
0.47,255.29
0.475,255.45
0.48,255.47
0.485,255.47
0.49,255.23
0.495,254.42
0.5,253.82
0.505,253.69
0.51,253.68
0.515,253.51
0.52,253.06
0.525,252.47
0.53,252.16
0.535,252.47
0.54,253.65
0.545,255.71
0.55,258.62
0.555,261.08
0.56,263.07
0.565,265.64
0.57,263.03
0.575,259.72
0.58,258.14
0.585,255.94
0.59,254.74
0.595,255.52
0.6,256.79
0.605,257.27
0.61,258.2
0.615,259.3
0.62,260.08
0.625,259.14
0.63,256.58
0.635,254.99
0.64,254.21
0.645,254.54
0.65,255.69
0.655,255.31
0.66,254.59
0.665,254.6
0.67,255.91
0.675,262.92
0.68,262.16
0.685,258.27
0.69,0.0
0.695,0.0
0.7,0.0
0.705,0.0
0.71,0.0
0.715,0.0
0.72,0.0
0.725,0.0
0.73,0.0
0.735,0.0
0.74,0.0
0.745,0.0
0.75,0.0
0.755,0.0
0.76,0.0
0.765,0.0
0.77,197.99
0.775,201.89
0.78,202.97
0.785,202.99
0.79,203.31
0.795,203.9
0.8,203.75
0.805,203.19
0.81,203.08
0.815,202.54
0.82,201.89
0.825,201.83
0.83,201.38
0.835,199.55
0.84,198.0
0.845,199.53
0.85,201.07
0.855,200.46
0.86,200.56
0.865,200.97
0.87,200.7
0.875,199.74
0.88,192.18
0.885,186.67
0.89,183.11
0.895,182.6
0.9,181.59
0.905,177.48
0.91,170.16
0.915,167.13
0.92,167.87
0.925,176.79
0.93,178.56
0.935,179.86
0.94,180.77
0.945,180.44
0.95,177.57
0.955,175.15
0.96,0.0
0.965,0.0
0.97,0.0
0.975,0.0
0.98,0.0
0.985,0.0
0.99,0.0
0.995,0.0
1.0,0.0
1.005,0.0
1.01,0.0
1.015,0.0
1.02,0.0
1.025,0.0
1.03,0.0
1.035,0.0
1.04,0.0
1.045,203.31
1.05,196.76
1.055,193.12
1.06,189.14
1.065,186.71
1.07,179.86
1.075,172.61
1.08,177.28
1.085,177.77
1.09,176.18
1.095,174.13
1.1,171.55
1.105,169.52
1.11,171.96
1.115,175.6
1.12,178.17
1.125,177.72
1.13,177.1
1.135,176.65
1.14,177.26
1.145,178.34
1.15,179.76
1.155,181.6
1.16,172.51
1.165,172.66
1.17,172.66
1.175,172.12
1.18,172.19
1.185,172.28
1.19,0.0
1.195,0.0
1.2,0.0
1.205,0.0
1.21,0.0
1.215,0.0
1.22,0.0
1.225,0.0
1.23,0.0
1.235,0.0
1.24,215.67
1.245,202.78
1.25,194.23
1.255,188.76
1.26,183.93
1.265,179.26
1.27,176.09
1.275,173.71
1.28,171.79
1.285,170.13
1.29,168.38
1.295,166.17
1.3,163.23
1.305,160.83
1.31,159.83
1.315,158.67
1.32,157.6
1.325,156.24
1.33,154.5
1.335,153.97
1.34,152.33
1.345,150.46
1.35,149.38
1.355,149.18
1.36,148.3
1.365,147.47
1.37,147.16
1.375,147.42
1.38,147.45
1.385,146.0
1.39,144.51
1.395,141.11
1.4,138.95
1.405,139.45
1.41,137.55
1.415,135.54
1.42,135.52
1.425,137.93
1.43,140.57
1.435,141.77
1.44,139.96
1.445,140.18
1.45,142.9
1.455,143.68
1.46,142.19
1.465,140.76
1.47,0.0
1.475,0.0
1.48,0.0
1.485,0.0
1.49,0.0
1.495,0.0
1.5,0.0
1.505,0.0
1.51,0.0
1.515,0.0
1.52,0.0
1.525,0.0
1.53,0.0
1.535,0.0
1.54,0.0
1.545,0.0
1.55,0.0
1.555,0.0
1.56,0.0
1.565,0.0
1.57,0.0
1.575,0.0
1.58,0.0
1.585,0.0
1.59,0.0
1.595,0.0
1.6,0.0
1.605,0.0
1.61,0.0
1.615,0.0
1.62,0.0
1.625,0.0
1.63,0.0
1.635,0.0
1.64,0.0
1.645,0.0
1.65,0.0
1.655,0.0
1.66,0.0
1.665,0.0
1.67,0.0
1.675,0.0
1.68,0.0
1.685,0.0
1.69,0.0
1.695,0.0
1.7,0.0
1.705,0.0
1.71,0.0
1.715,0.0
1.72,0.0
1.725,0.0
1.73,0.0
1.735,0.0
1.74,0.0
1.745,0.0
1.75,0.0
1.755,0.0
1.76,0.0
1.765,0.0
1.77,0.0
1.775,0.0
1.78,0.0
1.785,0.0
1.79,0.0
1.795,0.0
1.8,0.0
1.805,0.0
1.81,0.0
1.815,0.0
1.82,0.0
1.825,0.0
1.83,0.0
1.835,0.0
1.84,0.0
1.845,0.0
1.85,0.0
1.855,0.0
1.86,0.0
1.865,0.0
1.87,0.0
1.875,0.0
1.88,0.0
1.885,0.0
1.89,0.0
1.895,0.0
1.9,0.0
1.905,0.0
1.91,0.0
1.915,0.0
1.92,0.0
1.925,0.0
1.93,0.0
1.935,0.0
1.94,0.0
1.945,0.0
1.95,0.0
1.955,0.0
1.96,0.0
1.965,0.0
1.97,0.0
1.975,0.0
1.98,0.0
1.985,0.0
1.99,0.0
1.995,0.0
2.0,0.0
2.005,0.0
2.01,0.0
2.015,0.0
2.02,0.0
2.025,0.0
2.03,0.0
2.035,0.0
2.04,0.0
2.045,0.0
2.05,0.0
2.055,0.0
2.06,0.0
2.065,0.0
2.07,0.0
2.075,0.0
2.08,0.0
2.085,0.0
2.09,0.0
2.095,0.0
2.1,0.0
2.105,0.0
2.11,0.0
2.115,0.0
2.12,0.0
2.125,0.0
2.13,0.0
2.135,0.0
2.14,0.0
2.145,0.0
2.15,0.0
2.155,0.0
2.16,0.0
2.165,0.0
2.17,0.0
2.175,0.0
2.18,0.0
2.185,0.0
2.19,0.0
2.195,0.0
2.2,0.0
2.205,0.0
2.21,0.0
2.215,0.0
2.22,0.0
2.225,0.0
2.23,0.0
2.235,0.0
2.24,0.0
2.245,0.0
2.25,0.0
2.255,0.0
2.26,0.0
2.265,0.0
2.27,0.0
2.275,0.0
2.28,0.0
2.285,0.0
2.29,0.0
2.295,0.0
2.3,0.0
2.305,0.0
2.31,0.0
2.315,0.0
2.32,0.0
2.325,0.0
2.33,0.0
2.335,0.0
2.34,0.0
2.345,0.0
2.35,0.0
2.355,0.0
2.36,0.0
2.365,0.0
2.37,0.0
2.375,0.0
2.38,0.0
2.385,0.0
2.39,0.0
2.395,0.0
2.4,0.0
2.405,0.0
2.41,0.0
2.415,0.0
2.42,0.0
2.425,0.0
2.43,0.0
2.435,0.0
2.44,0.0
2.445,0.0
2.45,0.0
2.455,0.0
2.46,0.0
2.465,0.0
2.47,0.0
2.475,0.0
2.48,0.0
2.485,0.0
2.49,0.0
2.495,0.0
2.5,0.0
2.505,0.0
2.51,0.0
2.515,0.0
2.52,0.0
2.525,0.0
2.53,0.0
2.535,0.0
2.54,0.0
2.545,0.0
2.55,0.0
2.555,0.0
2.56,0.0
2.565,0.0
2.57,0.0
2.575,0.0
2.58,0.0
2.585,0.0
2.59,0.0
2.595,0.0
2.6,0.0
2.605,0.0
2.61,0.0
2.615,0.0
2.62,0.0
2.625,0.0
2.63,0.0
2.635,0.0
2.64,0.0
2.645,0.0
2.65,0.0
2.655,0.0
2.66,0.0
2.665,0.0
2.67,0.0
2.675,0.0
2.68,0.0
2.685,0.0
2.69,0.0
2.695,0.0
2.7,0.0
2.705,0.0
2.71,0.0
2.715,0.0
2.72,0.0
2.725,0.0
2.73,0.0
2.735,0.0
