w,session,macro_f1,accuracy,d_macro_f1,d_accuracy
0.0,1,0.2447,0.3474,0.0,0.0
0.0,2,0.2669,0.3777,0.0,0.0
0.0,3,0.2772,0.3877,0.0,0.0
0.0,4,0.262,0.3596,0.0,0.0
0.0,5,0.2467,0.3412,0.0,0.0
0.05,1,0.2553,0.3431,0.0106,-0.0043
0.05,2,0.2876,0.385,0.0207,0.0073
0.05,3,0.3523,0.3871,0.075,-0.0006
0.05,4,0.2607,0.3472,-0.0013,-0.0124
0.05,5,0.2344,0.3376,-0.0123,-0.0036
0.08,1,0.2551,0.3466,0.0103,-0.0007
0.08,2,0.2777,0.3814,0.0108,0.0036
0.08,3,0.3214,0.3896,0.0442,0.0019
0.08,4,0.2602,0.355,-0.0018,-0.0046
0.08,5,0.2387,0.3455,-0.0079,0.0042
0.1,1,0.2649,0.3417,0.0202,-0.0057
0.1,2,0.2705,0.3712,0.0036,-0.0066
0.1,3,0.3136,0.3884,0.0364,0.0006
0.1,4,0.2655,0.3589,0.0035,-0.0007
0.1,5,0.2414,0.3479,-0.0052,0.0067
0.12,1,0.2653,0.3481,0.0206,0.0007
0.12,2,0.2759,0.3763,0.009,-0.0015
0.12,3,0.3093,0.3909,0.032,0.0032
0.12,4,0.2661,0.3557,0.0041,-0.0039
0.12,5,0.2375,0.3418,-0.0092,0.0006
0.13,1,0.2659,0.3466,0.0211,-0.0007
0.13,2,0.2803,0.3806,0.0134,0.0029
0.13,3,0.2912,0.3807,0.014,-0.007
0.13,4,0.2602,0.3531,-0.0018,-0.0065
0.13,5,0.2309,0.337,-0.0158,-0.0042
0.14,1,0.2637,0.3452,0.0189,-0.0021
0.14,2,0.281,0.3828,0.0141,0.0051
0.14,3,0.2996,0.3864,0.0223,-0.0013
0.14,4,0.2586,0.3596,-0.0034,0.0
0.14,5,0.2401,0.3412,-0.0065,0.0
0.15,1,0.2622,0.3424,0.0175,-0.005
0.15,2,0.2662,0.3668,-0.0007,-0.0109
0.15,3,0.2898,0.3807,0.0126,-0.007
0.15,4,0.2573,0.3505,-0.0047,-0.0091
0.15,5,0.2375,0.34,-0.0091,-0.0012
0.16,1,0.2617,0.3402,0.017,-0.0071
0.16,2,0.2692,0.3675,0.0023,-0.0102
0.16,3,0.2958,0.3839,0.0186,-0.0038
0.16,4,0.2548,0.3498,-0.0072,-0.0098
0.16,5,0.2345,0.3376,-0.0122,-0.0036
0.17,1,0.2642,0.3431,0.0195,-0.0043
0.17,2,0.2599,0.3741,-0.007,-0.0036
0.17,3,0.2901,0.3826,0.0129,-0.0051
0.17,4,0.247,0.3414,-0.015,-0.0182
0.17,5,0.2307,0.3352,-0.0159,-0.0061
0.18,1,0.2581,0.3417,0.0134,-0.0057
0.18,2,0.2748,0.3821,0.0079,0.0044
0.18,3,0.2962,0.3839,0.019,-0.0038
0.18,4,0.2507,0.3518,-0.0113,-0.0078
0.18,5,0.2339,0.3394,-0.0128,-0.0018
0.19,1,0.2507,0.3338,0.006,-0.0136
0.19,2,0.2696,0.3748,0.0027,-0.0029
0.19,3,0.2806,0.3781,0.0033,-0.0096
0.19,4,0.2486,0.3479,-0.0134,-0.0117
0.19,5,0.2327,0.3321,-0.014,-0.0091
0.2,1,0.2503,0.3302,0.0055,-0.0171
0.2,2,0.2788,0.3799,0.0119,0.0022
0.2,3,0.2798,0.3736,0.0026,-0.0141
0.2,4,0.262,0.3609,-0.0,0.0013
0.2,5,0.2465,0.3412,-0.0002,0.0
0.22,1,0.2663,0.3488,0.0215,0.0014
0.22,2,0.2741,0.3755,0.0072,-0.0022
0.22,3,0.282,0.3807,0.0048,-0.007
0.22,4,0.2508,0.3479,-0.0112,-0.0117
0.22,5,0.2284,0.3267,-0.0182,-0.0145
0.25,1,0.2459,0.3317,0.0011,-0.0157
0.25,2,0.2736,0.3799,0.0067,0.0022
0.25,3,0.2794,0.3736,0.0022,-0.0141
0.25,4,0.252,0.3505,-0.01,-0.0091
0.25,5,0.2373,0.3364,-0.0093,-0.0048
0.28,1,0.246,0.3274,0.0013,-0.02
0.28,2,0.2754,0.377,0.0085,-0.0007
0.28,3,0.2767,0.3749,-0.0005,-0.0128
0.28,4,0.2535,0.3557,-0.0085,-0.0039
0.28,5,0.2299,0.3255,-0.0168,-0.0158
0.3,1,0.2593,0.3431,0.0146,-0.0043
0.3,2,0.257,0.3712,-0.0099,-0.0066
0.3,3,0.2813,0.3711,0.0041,-0.0166
0.3,4,0.2538,0.3563,-0.0082,-0.0033
0.3,5,0.2266,0.3297,-0.0201,-0.0115
