w,pooled_macro_f1,pooled_accuracy,fold_f1_mean,fold_f1_std,fold_acc_mean,fold_acc_std
0.0,0.2613,0.3624,0.2595,0.0138,0.3627,0.0197
0.05,0.2706,0.3595,0.2781,0.0456,0.36,0.024
0.08,0.2702,0.3634,0.2706,0.0316,0.3636,0.0205
0.1,0.2711,0.3616,0.2712,0.0263,0.3616,0.0187
0.12,0.2711,0.3623,0.2708,0.0258,0.3625,0.0205
0.13,0.2675,0.3591,0.2657,0.023,0.3596,0.0201
0.14,0.2697,0.3627,0.2686,0.0226,0.3631,0.0209
0.15,0.2652,0.3559,0.2626,0.0188,0.3561,0.0173
0.16,0.2656,0.3557,0.2632,0.0223,0.3558,0.0196
0.17,0.2605,0.3549,0.2584,0.022,0.3553,0.0215
0.18,0.2644,0.3594,0.2627,0.0238,0.3598,0.0217
0.19,0.2585,0.353,0.2564,0.0188,0.3533,0.022
0.2,0.2651,0.357,0.2635,0.0156,0.3572,0.0211
0.22,0.2622,0.3553,0.2603,0.0212,0.3559,0.0222
0.25,0.2601,0.3541,0.2577,0.0181,0.3544,0.0217
0.28,0.2577,0.3517,0.2563,0.02,0.3521,0.0249
0.3,0.2569,0.3538,0.2556,0.0195,0.3543,0.018
