ravdess_weight,held_out_session,macro_f1,accuracy,n_test
0.0,1,0.20202859435034143,0.33166904422253923,1402
0.0,2,0.2150760714557028,0.36171761280931586,1374
0.0,3,0.2186393151290698,0.37875879718490085,1563
0.0,4,0.21760536850135764,0.35695708712613783,1538
0.0,5,0.21872127953971698,0.3612121212121212,1650
0.05,1,0.21328377402969204,0.34308131241084167,1402
0.05,2,0.2280650081296634,0.3748180494905386,1374
0.05,3,0.21857131107821515,0.3761996161228407,1563
0.05,4,0.222338414488556,0.35370611183355005,1538
0.05,5,0.2228164528296827,0.3472727272727273,1650
0.08,1,0.21434117463426122,0.34165477888730383,1402
0.08,2,0.22124417500805577,0.3675400291120815,1374
0.08,3,0.2264249567344403,0.3857965451055662,1563
0.08,4,0.2265541296105939,0.36280884265279584,1538
0.08,5,0.21144841941836837,0.35333333333333333,1650
0.1,1,0.21220856265786694,0.33951497860199714,1402
0.1,2,0.23132829000702781,0.38282387190684136,1374
0.1,3,0.22956616976852057,0.37747920665387075,1563
0.1,4,0.21714269510096945,0.3550065019505852,1538
0.1,5,0.21309235873193028,0.3478787878787879,1650
0.12,1,0.2113533770703322,0.340941512125535,1402
0.12,2,0.24506185138229725,0.3784570596797671,1374
0.12,3,0.22235808231129575,0.37747920665387075,1563
0.12,4,0.23553428863620438,0.36866059817945385,1538
0.12,5,0.20951266183083683,0.34484848484848485,1650
0.13,1,0.21410112949357013,0.340941512125535,1402
0.13,2,0.23544575026757925,0.37117903930131,1374
0.13,3,0.231654509146541,0.37939859245041585,1563
0.13,4,0.21959510757244316,0.358257477243173,1538
0.13,5,0.21517771889251408,0.35393939393939394,1650
0.14,1,0.2079740863615928,0.3359486447931526,1402
0.14,2,0.23675492811492027,0.3726346433770015,1374
0.14,3,0.23490794868269788,0.38259756877799106,1563
0.14,4,0.22805805256026493,0.35240572171651496,1538
0.14,5,0.22470666694221544,0.3515151515151515,1650
0.15,1,0.212730285512547,0.34165477888730383,1402
0.15,2,0.25208329639316873,0.37627365356623,1374
0.15,3,0.2319874721647892,0.3909149072296865,1563
0.15,4,0.22270638116110508,0.35565669700910274,1538
0.15,5,0.21869562717202795,0.356969696969697,1650
0.16,1,0.21599769116166936,0.34165477888730383,1402
0.16,2,0.235106083724046,0.3682678311499272,1374
0.16,3,0.22651163490582882,0.38259756877799106,1563
0.16,4,0.22071260893411515,0.3576072821846554,1538
0.16,5,0.21579028387545898,0.356969696969697,1650
0.17,1,0.22141911725986207,0.35520684736091296,1402
0.17,2,0.23828123127349393,0.37045123726346435,1374
0.17,3,0.22529388921661248,0.381957773512476,1563
0.17,4,0.2461424407513414,0.35370611183355005,1538
0.17,5,0.20259054564278195,0.336969696969697,1650
0.18,1,0.21920445502397293,0.34807417974322397,1402
0.18,2,0.23505966641426637,0.3726346433770015,1374
0.18,3,0.22722293786731956,0.3781190019193858,1563
0.18,4,0.23243567019449313,0.35695708712613783,1538
0.18,5,0.20573752040430607,0.3412121212121212,1650
0.19,1,0.22693791173721523,0.34450784593437944,1402
0.19,2,0.23165532816918818,0.37045123726346435,1374
0.19,3,0.22304647695445778,0.38067818298144596,1563
0.19,4,0.2570415991973114,0.3621586475942783,1538
0.19,5,0.2113852936913499,0.3509090909090909,1650
0.2,1,0.21139052585389206,0.34450784593437944,1402
0.2,2,0.24789709993264158,0.3697234352256186,1374
0.2,3,0.308812249731573,0.38131797824696095,1563
0.2,4,0.22286509401915952,0.36085825747724315,1538
0.2,5,0.2308069760790458,0.35393939393939394,1650
0.22,1,0.22856835360807864,0.35306704707560627,1402
0.22,2,0.25323082134105157,0.3784570596797671,1374
0.22,3,0.3125437571857064,0.3857965451055662,1563
0.22,4,0.24680358467462832,0.34980494148244473,1538
0.22,5,0.22071806788937215,0.3472727272727273,1650
0.25,1,0.23331378709738515,0.3516405135520685,1402
0.25,2,0.23492415027622698,0.36899563318777295,1374
0.25,3,0.22856483645694198,0.38259756877799106,1563
0.25,4,0.26008704643256486,0.3634590377113134,1538
0.25,5,0.20958455782111313,0.3472727272727273,1650
0.28,1,0.23159115027326943,0.34450784593437944,1402
0.28,2,0.2457114935713052,0.37190684133915575,1374
0.28,3,0.22812673758901283,0.38451695457453616,1563
0.28,4,0.2496736294795627,0.3641092327698309,1538
0.28,5,0.21104872991926588,0.3478787878787879,1650
0.3,1,0.2410758682302447,0.3537803138373752,1402
0.3,2,0.2392185398822721,0.37190684133915575,1374
0.3,3,0.2229778083575289,0.38131797824696095,1563
0.3,4,0.24041993618547466,0.3589076723016905,1538
0.3,5,0.2108111868327466,0.34363636363636363,1650
