ravdess_weight,label,pooled_accuracy,pooled_macro_f1,fold_acc_mean,fold_acc_std,n_test,acc_vs_iemocap_only,f1_vs_iemocap_only
0.0,IEMOCAP only,0.3586,0.2143,0.3581,0.017,7527,0.0,0.0
0.05,+RAVDESS @ w=0.05,0.3588,0.2198,0.359,0.0155,7527,0.0002,0.0055
0.08,+RAVDESS @ w=0.08,0.3624,0.2194,0.3622,0.0165,7527,0.0038,0.0051
0.1,+RAVDESS @ w=0.1,0.3603,0.2215,0.3605,0.0188,7527,0.0017,0.0072
0.12,+RAVDESS @ w=0.12,0.3619,0.2241,0.3621,0.018,7527,0.0033,0.0098
0.13,+RAVDESS @ w=0.13,0.3608,0.2229,0.3607,0.015,7527,0.0022,0.0086
0.14,+RAVDESS @ w=0.14,0.3591,0.2254,0.359,0.0185,7527,0.0005,0.0111
0.15,+RAVDESS @ w=0.15,0.3644,0.2265,0.3643,0.0193,7527,0.0058,0.0122
0.16,+RAVDESS @ w=0.16,0.3616,0.2223,0.3614,0.0152,7527,0.003,0.008
0.17,+RAVDESS @ w=0.17,0.3592,0.2259,0.3597,0.0172,7527,0.0006,0.0116
0.18,+RAVDESS @ w=0.18,0.3591,0.2234,0.3594,0.0157,7527,0.0005,0.0091
0.19,+RAVDESS @ w=0.19,0.3618,0.2302,0.3617,0.0146,7527,0.0032,0.0159
0.2,+RAVDESS @ w=0.2,0.3622,0.2314,0.3621,0.0142,7527,0.0036,0.0171
0.22,+RAVDESS @ w=0.22,0.3626,0.2394,0.3629,0.0179,7527,0.004,0.0251
0.25,+RAVDESS @ w=0.25,0.3627,0.2338,0.3628,0.0141,7527,0.0041,0.0195
0.28,+RAVDESS @ w=0.28,0.3626,0.2342,0.3626,0.0167,7527,0.004,0.0199
0.3,+RAVDESS @ w=0.3,0.3616,0.233,0.3619,0.0149,7527,0.003,0.0187
