word,start,end,duration,pause_after,syllables,n_voiced,f0_mean,f0_range,f0_slope,rms,intensity_db,hnr,alpha_ratio,dur_expected,dur_resid
That's,15.021,15.361,0.34,0.961,1,26,151.0,9.6,-4.02,0.0556,68.15,3.2,-6.89,0.244,0.3317
it.,16.322,16.502,0.18,0.12,1,9,73.7,7.5,-12.76,0.0463,67.08,1.0,-9.25,0.244,-0.3043
I,16.622,16.702,0.08,0.02,1,10,106.8,4.5,6.87,0.0738,71.08,1.1,-3.15,0.244,-1.1152
love,16.722,16.822,0.1,0.02,1,20,138.7,11.2,10.86,0.0565,68.47,6.7,-0.98,0.244,-0.8921
a,16.842,16.882,0.04,0.02,1,8,130.1,14.6,-60.0,0.0376,65.77,3.7,0.0,0.244,-1.8084
good,16.902,17.022,0.12,0.02,1,23,111.3,28.1,-43.91,0.0524,67.86,3.2,-3.62,0.244,-0.7098
game,17.042,17.182,0.14,0.06,1,27,125.9,6.7,-8.28,0.0603,68.85,5.7,0.01,0.244,-0.5556
of,17.242,17.302,0.06,0.04,1,8,102.8,3.5,-11.62,0.0244,60.93,5.3,0.0,0.244,-1.4029
cards.,17.342,17.623,0.281,0.02,1,37,122.5,22.0,-13.47,0.0485,64.44,6.2,-0.77,0.244,0.1411
What's,17.643,17.803,0.16,0.02,1,13,172.9,10.0,8.03,0.0291,61.37,7.0,-4.04,0.244,-0.4221
the,17.823,17.903,0.08,0.04,1,13,174.5,47.4,-60.0,0.0473,66.02,4.2,-8.83,0.244,-1.1152
buy-in?,17.943,18.303,0.36,0.56,1,72,118.9,41.9,-22.92,0.0522,67.35,7.3,-3.05,0.244,0.3888
Buy-in's,18.863,19.104,0.241,0.04,1,46,147.2,4.0,1.06,0.0697,69.46,10.5,-4.21,0.244,-0.0125
100,19.144,19.444,0.3,0.04,1,60,143.3,14.1,-2.51,0.0557,67.74,9.2,-4.83,0.244,0.2065
grand.,19.484,19.784,0.3,0.3,1,58,143.5,16.5,-7.92,0.06,67.95,11.7,-3.81,0.244,0.2065
Outside,20.084,20.424,0.34,0.02,2,54,143.0,21.0,3.13,0.0611,66.97,8.0,-5.17,0.3089,0.0959
money.,20.444,20.644,0.2,0.521,2,40,145.2,16.1,-12.14,0.0629,68.9,10.5,-4.93,0.3089,-0.4348
Excellent.,21.165,21.505,0.34,0.42,3,8,145.1,6.1,-2.32,0.0304,61.52,0.2,0.42,0.3738,-0.0948
I'm,21.925,22.025,0.1,0.06,1,20,109.9,16.6,1.13,0.0997,73.63,6.0,-5.64,0.244,-0.8921
in.,22.085,22.185,0.1,0.581,1,20,81.8,17.9,-47.33,0.0432,65.28,4.6,-5.55,0.244,-0.8921
You,22.766,22.846,0.08,0.04,1,5,137.4,0.9,-1.84,0.0342,61.41,3.6,-1.73,0.244,-1.1152
gotta,22.886,22.986,0.1,0.02,2,20,155.7,9.7,-8.69,0.0917,72.26,8.2,-3.89,0.3089,-1.1279
have,23.006,23.126,0.12,0.02,1,24,156.0,9.2,-3.57,0.0305,59.76,8.4,-1.48,0.244,-0.7098
collateral,23.146,23.666,0.52,0.921,4,104,150.3,66.1,-14.38,0.0489,65.83,8.6,-3.75,0.4387,0.17
so,24.587,24.727,0.14,0.02,1,16,129.9,6.1,-5.35,0.0659,68.45,8.0,-6.98,0.244,-0.5556
we,24.747,24.827,0.08,0.04,1,16,135.9,7.0,-12.8,0.0737,71.14,6.7,-3.28,0.244,-1.1152
know,24.867,24.987,0.12,0.02,1,24,148.1,6.1,7.57,0.074,70.91,8.7,-3.18,0.244,-0.7098
you,25.007,25.087,0.08,0.04,1,16,143.9,6.2,-7.56,0.0553,68.33,11.2,-6.63,0.244,-1.1152
can,25.127,25.267,0.14,0.02,1,26,137.1,17.2,-7.16,0.0318,63.08,6.8,-11.18,0.244,-0.5556
cover,25.287,25.487,0.2,0.02,2,37,142.4,21.6,-15.01,0.061,68.44,8.2,-3.34,0.3089,-0.4348
your,25.507,25.607,0.1,0.04,1,11,123.9,12.0,-19.1,0.0407,64.98,4.8,-2.22,0.244,-0.8921
debts.,25.647,25.908,0.261,0.46,1,39,149.5,18.4,-7.1,0.0517,63.21,5.6,-3.19,0.244,0.0672
"Oh,",26.368,26.508,0.14,0.12,1,8,182.5,4.8,0.2,0.0399,63.18,4.6,-1.75,0.244,-0.5556
no,26.628,26.768,0.14,0.04,1,28,113.8,12.2,-11.24,0.0467,66.41,5.4,-3.6,0.244,-0.5556
