word,start,f0_mean_control,f0_range_control,n_voiced,f0_mean_test,f0_range_test,d_f0_mean,d_f0_range
That's,15.021,151.0,9.6,26,150.8,10.1,0.2,-0.5
it.,16.322,73.7,7.5,9,148.8,1.6,-75.1,5.9
I,16.622,106.8,4.5,10,107.0,5.7,-0.2,-1.2
love,16.722,138.7,11.2,20,139.1,7.0,-0.4,4.2
a,16.842,130.1,14.6,8,125.4,12.2,4.7,2.4
good,16.902,111.3,28.1,23,121.3,25.2,-10.0,2.9
game,17.042,125.9,6.7,27,125.7,7.1,0.2,-0.4
of,17.242,102.8,3.5,8,102.6,2.9,0.2,0.6
cards.,17.342,122.5,22.0,37,122.4,21.9,0.1,0.1
What's,17.643,172.9,10.0,13,173.1,9.9,-0.2,0.1
the,17.823,174.5,47.4,13,172.6,48.0,1.9,-0.6
buy-in?,17.943,118.9,41.9,72,118.3,41.8,0.6,0.1
Buy-in's,18.863,147.2,4.0,46,147.1,4.0,0.1,0.0
100,19.144,143.3,14.1,60,142.9,14.4,0.4,-0.3
grand.,19.484,143.5,16.5,58,144.2,15.6,-0.7,0.9
Outside,20.084,143.0,21.0,54,142.8,20.6,0.2,0.4
money.,20.444,145.2,16.1,40,145.3,17.6,-0.1,-1.5
Excellent.,21.165,145.1,6.1,8,145.0,6.0,0.1,0.1
I'm,21.925,109.9,16.6,20,109.8,16.4,0.1,0.2
in.,22.085,81.8,17.9,20,82.4,17.7,-0.6,0.2
You,22.766,137.4,0.9,5,137.5,0.7,-0.1,0.2
gotta,22.886,155.7,9.7,20,155.6,11.0,0.1,-1.3
have,23.006,156.0,9.2,24,156.2,9.6,-0.2,-0.4
collateral,23.146,150.3,66.1,104,150.9,66.0,-0.6,0.1
so,24.587,129.9,6.1,16,130.1,6.7,-0.2,-0.6
we,24.747,135.9,7.0,16,135.8,8.4,0.1,-1.4
know,24.867,148.1,6.1,24,148.4,6.2,-0.3,-0.1
you,25.007,143.9,6.2,16,144.0,5.7,-0.1,0.5
can,25.127,137.1,17.2,26,137.2,17.7,-0.1,-0.5
cover,25.287,142.4,21.6,37,142.2,20.3,0.2,1.3
your,25.507,123.9,12.0,11,123.2,11.2,0.7,0.8
debts.,25.647,149.5,18.4,39,149.3,20.5,0.2,-2.1
"Oh,",26.368,182.5,4.8,8,180.2,18.3,2.3,-13.5
no,26.628,113.8,12.2,28,113.5,12.7,0.3,-0.5
problem.,26.808,93.5,25.0,50,93.5,25.0,0.0,0.0
I,27.108,96.0,7.0,16,95.8,6.9,0.2,0.1
got,27.208,91.1,1.7,24,91.1,1.9,0.0,-0.2
all,27.348,88.1,2.7,17,88.0,2.8,0.1,-0.1
sorts,27.508,86.4,5.9,11,536.9,19.4,-450.5,-13.5
of,27.769,0.0,0.0,0,0.0,0.0,0.0,0.0
collateral.,27.869,84.2,15.1,26,84.5,5.3,-0.3,9.8
I,28.309,87.0,3.2,24,87.0,3.2,0.0,0.0
have,28.449,83.7,4.3,16,83.7,3.8,0.0,0.5
